crop_name,price_eur_t,source_type,source_name,date
Auzas,180,manual,User input,2025-12-23
Auzas (starpkultūra),,manual,User input,2025-12-23
Baltais āboliņš,,manual,User input,2025-12-23
Baltās sinepes,,manual,User input,2025-12-23
Brūnās sinepes,,manual,User input,2025-12-23
Cukurbietes,45,manual,User input,2025-12-23
Daglītis,,manual,User input,2025-12-23
Daudzgadīgie zālāji,,manual,User input,2025-12-23
Eļļas rutks,,manual,User input,2025-12-23
Facēlija,,manual,User input,2025-12-23
Ganību airene,,manual,User input,2025-12-23
Griķi,250,manual,User input,2025-12-23
Griķi (starpkultūra),,manual,User input,2025-12-23
Kartupeļi,120,manual,User input,2025-12-23
Kaņepes (šķiedrai),450,manual,User input,2025-12-23
Kukurūza (graudi),220,manual,User input,2025-12-23
Kvieši,210,manual,User input,2025-12-23
Lins (eļļai),420,manual,User input,2025-12-23
Lucerna,,manual,User input,2025-12-23
Lupīnas,300,manual,User input,2025-12-23
Mieži,195,manual,User input,2025-12-23
Pupas,350,manual,User input,2025-12-23
Rapsis,380,manual,User input,2025-12-23
Rapši (vasaras),340,manual,User input,2025-12-23
Rudzi,180,manual,User input,2025-12-23
Sarkanais āboliņš,,manual,User input,2025-12-23
Sinepes,300,manual,User input,2025-12-23
Soja,400,manual,User input,2025-12-23
Timotiņš,,manual,User input,2025-12-23
Tritikāle,200,manual,User input,2025-12-23
Zirņi,320,manual,User input,2025-12-23
Zirņi (starpkultūra),,manual,User input,2025-12-23
Zālāji (ganībām),,manual,User input,2025-12-23
Zālāji (skābbarībai),,manual,User input,2025-12-23
